Channel,Condition,BioReplicate,TechRepMixture,Fraction,Mixture,Run
126,Control,1,1,1,1,
127N,Control,2,1,1,1,
127C,TRAF7,1,1,1,1,
128N,TRAF7,2,1,1,1,
128C,TRAF7_3nM,1,1,1,1,
129N,TRAF7_3nM,2,1,1,1,
129C,TRAF7_30nM,1,1,1,1,
130N,TRAF7_30nM,2,1,1,1,
130C,TRAF7_3uM,1,1,1,1,
131N,TRAF7_3uM,2,1,1,1,
131C,TRAF7_supp,1,1,1,1,
132N,TRAF7_supp,2,1,1,1,
132C,TRAF7_3nM_supp,1,1,1,1,
133N,TRAF7_3nM_supp,2,1,1,1,
133C,TRAF7_30nM_supp,1,1,1,1,
134N,TRAF7_30nM_supp,2,1,1,1,
134C,TRAF7_3uM_supp,1,1,1,1,
135N,TRAF7_3uM_supp,2,1,1,1,
